,name,total_enrollment,state,n_native,n_asian,n_black,n_hispanic,n_pacific,n_nonresident,n_total_minority,n_multiracial,n_unknown,n_white,n_women,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
0,Aaniiih Nakoda College,291,Montana,256,0,0,2,0,0,258,0,0,33,178,MT,Public,2 Year,,2380,2380,2380,2380,,,,
1,Abilene Christian University,4427,Texas,18,46,387,582,0,185,1212,179,71,2959,2562,TX,Private,4 Year,10350.0,34850,45200,34850,45200,,,,
2,Abraham Baldwin Agricultural College,3458,Georgia,9,36,407,197,1,49,680,30,1,2728,1822,GA,Public,2 Year,8474.0,4128,12602,12550,21024,,,,
3,Academy College,127,Minnesota,1,10,14,6,3,0,35,1,12,80,28,MN,For Profit,2 Year,,17661,17661,17661,17661,,,,
4,Academy of Art University,15212,California,70,1092,999,1383,75,5173,3931,312,2652,3456,8815,CA,For Profit,4 Year,16648.0,27810,44458,27810,44458,,,,
5,Adams State University,3154,Colorado,37,37,191,812,10,0,1213,126,165,1776,1728,CO,Public,4 Year,8782.0,9440,18222,20456,29238,44400.0,81400.0,56.0,3.0
6,Adelphi University,7610,New York,10,554,857,1007,6,436,2587,153,529,4058,5523,NY,Private,4 Year,16030.0,38660,54690,38660,54690,,,,
7,Adirondack Community College,4247,New York,18,38,126,135,2,9,395,76,31,3812,2437,NY,Public,2 Year,11660.0,5375,17035,9935,21595,,,,
8,Adrian College,1641,Michigan,3,10,153,80,0,1,300,54,174,1166,787,MI,Private,4 Year,11318.0,37087,48405,37087,48405,,,,
9,Advanced Technology Institute,717,Virginia,7,19,262,43,1,0,343,11,3,371,29,VA,For Profit,2 Year,,13680,13680,13680,13680,,,,
10,Agnes Scott College,873,Georgia,1,41,288,78,2,104,462,52,23,284,867,GA,Private,4 Year,12330.0,41160,53490,41160,53490,46000.0,83600.0,57.0,26.0
11,Aiken Technical College,2351,South Carolina,22,28,720,98,3,2,894,23,22,1433,1495,SC,Public,2 Year,,5160,5160,8010,8010,,,,
12,Aims Community College,5001,Colorado,33,63,78,1631,9,4,1911,97,76,3010,2904,CO,Public,2 Year,,2281,2281,13018,13018,,,,
13,Alabama Southern Community College,1398,Alabama,13,7,608,7,0,1,645,10,10,742,853,AL,Public,2 Year,,4440,4440,8880,8880,,,,
14,Alabama State University,5519,Alabama,8,20,4950,68,3,130,5105,56,76,208,3430,AL,Public,4 Year,5422.0,11068,16490,19396,24818,39800.0,71500.0,61.0,16.0
15,Alamance Community College,4437,North Carolina,29,76,912,416,1,82,1539,105,86,2730,2899,NC,Public,2 Year,,2310,2310,8070,8070,,,,
16,Alaska Bible College,46,Alaska,3,0,0,1,0,0,5,1,0,41,25,AK,Private,4 Year,5700.0,9300,15000,9300,15000,,,,
17,Alaska Pacific University,579,Alaska,87,10,13,15,4,0,170,41,88,321,384,AK,Private,4 Year,7300.0,20830,28130,20830,28130,50300.0,90000.0,67.0,6.0
18,Albany College of Pharmacy and Health Sciences,1563,New York,4,228,59,63,2,118,372,16,86,987,932,NY,Private,4 Year,10920.0,35105,46025,35105,46025,81000.0,144800.0,82.0,2.0
19,Albany State University,3910,Georgia,6,9,3450,45,2,14,3534,22,97,265,2698,GA,Public,4 Year,8878.0,6726,15604,19802,28680,,,,
20,Albany Technical College,3640,Georgia,3,10,2918,41,2,0,3001,27,3,636,2319,GA,Public,2 Year,,3246,3246,5916,5916,,,,
21,Albertus Magnus College,1550,Connecticut,6,7,515,217,2,11,767,20,125,647,1031,CT,Private,4 Year,13200.0,32060,45260,32060,45260,49700.0,85900.0,62.0,2.0
22,Albion College,1268,Michigan,3,23,47,46,1,37,153,33,79,999,631,MI,Private,4 Year,12380.0,45775,58155,45775,58155,52100.0,99300.0,44.0,23.0
23,Albright College,2393,Pennsylvania,13,77,374,216,0,55,701,21,268,1369,1405,PA,Private,4 Year,12070.0,45306,57376,45306,57376,,,,
24,Alcorn State University,3639,Mississippi,3,10,3386,12,11,58,3479,57,0,102,2395,MS,Public,4 Year,9608.0,7144,16752,7144,16752,40900.0,69500.0,67.0,19.0
25,Alexandria Technical and Community College,2604,Minnesota,12,12,28,80,2,3,183,49,83,2335,1264,MN,Public,2 Year,,5416,5416,5416,5416,,,,
26,Alfred University,2310,New York,3,44,190,165,0,94,452,50,345,1419,1194,NY,Private,4 Year,12516.0,33484,46000,33484,46000,,,,
27,Allan Hancock College,11047,California,74,452,305,5896,50,20,7116,339,5,3906,5652,CA,Public,2 Year,,1418,1418,7898,7898,,,,
28,Allegany College of Maryland,3227,Maryland,4,10,342,47,2,41,452,47,57,2677,2206,MD,Public,2 Year,,4140,4140,9210,9210,,,,
29,Allegheny College,2023,Pennsylvania,2,45,93,127,0,77,354,87,28,1564,1106,PA,Private,4 Year,12140.0,47540,59680,47540,59680,,,,
30,Allegheny Wesleyan College,62,Ohio,0,1,0,0,0,0,1,0,0,61,37,OH,Private,4 Year,4000.0,6400,10400,6400,10400,,,,
31,Allen College,575,Iowa,0,7,13,2,2,4,29,5,24,518,524,IA,Private,4 Year,7282.0,19970,27252,19970,27252,51600.0,91300.0,,0.0
32,Allen County Community College,2628,Kansas,32,44,161,212,0,3,450,1,12,2163,1689,KS,Public,2 Year,5070.0,3150,8220,3150,8220,,,,
33,Allen University,660,South Carolina,0,1,652,4,0,0,657,0,0,3,371,SC,Private,4 Year,7230.0,13340,20570,13340,20570,,,,
34,Alma College,1396,Michigan,9,21,46,51,1,14,164,36,56,1162,764,MI,Private,4 Year,10998.0,40258,51256,40258,51256,48400.0,89900.0,52.0,15.0
35,Alpena Community College,1636,Michigan,20,13,28,16,2,0,79,0,6,1551,868,MI,Public,2 Year,,4530,4530,6840,6840,,,,
36,Alvernia University,2917,Pennsylvania,7,29,376,205,2,8,658,39,227,2024,2119,PA,Private,4 Year,,34885,34885,34885,34885,,,,
37,Alverno College,2389,Wisconsin,30,117,379,401,7,38,999,65,11,1341,2314,WI,Private,4 Year,8546.0,28302,36848,28302,36848,,,,
38,Alvin Community College,4837,Texas,32,246,505,1485,18,0,2287,1,73,2477,2722,TX,Public,2 Year,,1998,1998,4818,4818,,,,
39,Amarillo College,10336,Texas,136,304,525,3940,0,1,4905,0,86,5344,6352,TX,Public,2 Year,,2670,2670,5880,5880,,,,
40,American Academy McAllister Institute of Funeral Service,424,New York,4,8,96,41,6,0,155,0,28,241,271,NY,Private,2 Year,,17160,17160,17160,17160,,,,
41,American Academy of Art,365,Illinois,0,23,36,83,2,1,159,15,0,205,215,IL,Private,4 Year,,34100,34100,34100,34100,,,,
42,American Baptist College,157,Tennessee,0,0,153,1,0,0,154,0,0,3,47,TN,Private,4 Year,8640.0,10950,19590,10950,19590,,,,
43,American Indian College of the Assemblies of God,91,Arizona,61,2,5,13,4,0,85,0,0,6,49,AZ,Private,4 Year,6250.0,958,7208,958,7208,,,,
44,American International College,3629,Massachusetts,11,58,491,216,12,7,886,98,412,2324,2530,MA,Private,4 Year,14300.0,35680,49980,35680,49980,,,,
45,American Jewish University,204,California,2,0,2,6,1,0,12,1,127,65,108,CA,Private,4 Year,17362.0,31826,49188,31826,49188,,,,
46,American River College,29133,California,227,3095,3014,6034,259,155,14336,1707,1118,13524,15759,CA,Public,2 Year,,1416,1416,9546,9546,,,,
47,Amherst College,1792,Massachusetts,6,234,222,235,1,172,779,81,90,751,865,MA,Private,4 Year,14740.0,56426,71166,56426,71166,63800.0,116500.0,45.0,32.0
48,Amridge University,625,Alabama,0,4,255,5,0,0,264,0,180,181,372,AL,Private,4 Year,,6900,6900,6900,6900,35700.0,65900.0,,0.0
49,Ancilla College,400,Indiana,1,0,43,38,0,2,94,12,0,304,218,IN,Private,2 Year,9600.0,17330,26930,17330,26930,,,,
50,Andrew College,303,Georgia,0,3,147,22,0,8,181,9,0,114,158,GA,Private,2 Year,10636.0,17388,28024,17388,28024,,,,
51,Andrews University,3418,Michigan,10,315,702,458,13,727,1569,71,79,1043,1583,MI,Private,4 Year,9078.0,29288,38366,29288,38366,47600.0,85000.0,51.0,7.0
52,Angelina College,5148,Texas,33,44,662,1020,6,4,1916,151,0,3228,3262,TX,Public,2 Year,5500.0,2625,8125,5535,11035,,,,
53,Angelo State University,6494,Texas,28,74,526,1874,9,183,2666,155,155,3490,3672,TX,Public,4 Year,9130.0,8489,17619,20939,30069,,,,
54,Anna Maria College,1430,Massachusetts,3,21,105,79,3,6,235,24,154,1035,802,MA,Private,4 Year,14630.0,37860,52490,37860,52490,,,,
55,Anne Arundel Community College,15274,Maryland,84,583,2555,916,42,139,4660,480,1133,9342,9093,MD,Public,2 Year,,4110,4110,12180,12180,,,,
56,Anoka Technical College,2221,Minnesota,13,84,164,87,3,1,420,69,47,1753,1294,MN,Public,2 Year,,5584,5584,5584,5584,,,,
57,Anoka-Ramsey Community College,7877,Minnesota,34,342,591,321,12,34,1628,328,72,6143,4845,MN,Public,2 Year,,5073,5073,5073,5073,,,,
58,Antelope Valley College,14578,California,61,473,3021,6748,24,16,11010,683,182,3370,8644,CA,Public,2 Year,,1420,1420,9760,9760,,,,
59,Antioch University Midwest,256,Ohio,4,2,71,7,0,0,84,0,18,154,182,OH,Private,4 Year,,16210,16210,16210,16210,,,,
60,Apex School of Theology,770,North Carolina,0,1,735,2,0,0,738,0,0,32,500,NC,Private,4 Year,,6200,6200,6200,6200,,,,
61,Appalachian Bible College,302,West Virginia,2,1,0,4,2,1,9,0,26,266,126,WV,Private,4 Year,7960.0,14720,22680,14720,22680,,,,
62,Appalachian State University,18026,North Carolina,44,267,584,702,11,216,2049,441,314,15447,9974,NC,Public,4 Year,8304.0,7214,15518,22021,30325,46600.0,82700.0,47.0,9.0
63,Arapahoe Community College,10401,Colorado,65,346,282,1661,22,85,2762,386,803,6751,5654,CO,Public,2 Year,,4811,4811,18671,18671,,,,
64,Arcadia University,3939,Pennsylvania,7,181,361,206,5,92,883,123,325,2639,2822,PA,Private,4 Year,13800.0,43580,57380,43580,57380,,,,
65,Arizona Christian University,737,Arizona,7,18,55,114,5,13,233,34,43,448,331,AZ,Private,4 Year,10674.0,26796,37470,26796,37470,42600.0,76600.0,,7.0
66,Arizona State University,50320,Arizona,651,3185,1803,8239,103,7954,15746,1765,465,26155,21614,AZ,Public,4 Year,12648.0,10822,23470,28336,40984,,,,
67,Arizona Western College,7702,Arizona,92,87,225,5233,23,236,5745,85,247,1474,4359,AZ,Public,2 Year,6700.0,2520,9220,9510,16210,,,,
68,Arkansas Baptist College,899,Arkansas,0,1,847,6,0,8,854,0,0,37,298,AR,Private,4 Year,8826.0,8760,17586,8760,17586,,,,
69,Arkansas Northeastern College,1425,Arkansas,5,8,422,53,1,0,510,21,0,915,939,AR,Public,2 Year,,2450,2450,4250,4250,,,,
70,Arkansas Tech University,12002,Arkansas,121,154,919,728,8,449,2239,309,0,9314,6689,AR,Public,4 Year,7870.0,9068,16938,15848,23718,45000.0,76900.0,54.0,7.0
71,Art Academy of Cincinnati,209,Ohio,1,5,20,12,1,1,44,5,0,164,128,OH,Private,4 Year,6700.0,33889,40589,33889,40589,,,,
72,Art Center College of Design,2045,California,4,666,26,216,9,580,1003,82,33,429,997,CA,Private,4 Year,,43416,43416,43416,43416,,,,
73,Art Institute of Houston,1887,Texas,7,91,537,618,10,0,1263,0,79,545,932,TX,For Profit,4 Year,9600.0,24024,33624,24024,33624,,,,
74,Art Institute of Philadelphia,1953,Pennsylvania,1,16,117,274,3,0,412,1,1388,153,996,PA,For Profit,4 Year,,14850,14850,14850,14850,,,,
75,Art Institute of Phoenix,1009,Arizona,40,11,60,335,1,0,464,17,292,253,490,AZ,For Profit,4 Year,10928.0,21645,32573,21645,32573,,,,
76,Art Institute of Pittsburgh,1280,Pennsylvania,12,14,252,80,6,0,364,0,161,755,659,PA,For Profit,4 Year,2758.0,23376,26134,23376,26134,,,,
77,Asbury University,1879,Kentucky,4,14,92,40,5,30,254,99,86,1509,1142,KY,Private,4 Year,7160.0,30198,37358,30198,37358,39400.0,70800.0,59.0,4.0
78,Asheville-Buncombe Technical Community College,7507,North Carolina,59,70,470,424,13,16,1175,139,320,5996,4200,NC,Public,2 Year,,2354,2354,8114,8114,,,,
79,Ashford University,51237,California,482,645,18727,4792,405,96,26590,1539,955,23596,36116,CA,For Profit,4 Year,,12160,12160,12160,12160,,,,
80,Ashland Community and Technical College,3345,Kentucky,13,11,47,37,1,0,142,33,139,3064,1975,KY,Public,2 Year,,5310,5310,18000,18000,,,,
81,Ashland University,5428,Ohio,19,36,728,135,5,211,998,75,90,4129,2933,OH,Private,4 Year,9941.0,21342,31283,21342,31283,,,,
82,Asnuntuck Community College,1603,Connecticut,4,54,144,127,1,0,360,30,53,1190,838,CT,Public,2 Year,,4404,4404,13170,13170,,,,
83,Assumption College,2719,Massachusetts,5,57,134,179,2,40,431,54,343,1905,1683,MA,Private,4 Year,12694.0,40958,53652,40958,53652,,,,
84,Athens State University,3128,Alabama,48,17,396,63,3,17,581,54,107,2423,2046,AL,Public,4 Year,,6810,6810,12870,12870,45000.0,78800.0,51.0,9.0
85,Athens Technical College,4336,Georgia,8,93,918,217,5,20,1258,17,262,2796,2836,GA,Public,2 Year,,3292,3292,5962,5962,,,,
86,Atlanta Metropolitan State College,2977,Georgia,3,21,2747,51,7,22,2884,55,17,54,1990,GA,Public,2 Year,,4008,4008,12088,12088,,,,
87,Atlanta Technical College,4282,Georgia,9,34,3967,85,4,24,4135,36,22,101,2814,GA,Public,2 Year,,3350,3350,6020,6020,,,,
88,Atlantic Cape Community College,6845,New Jersey,38,551,1001,1116,22,74,2821,93,677,3273,4003,NJ,Public,2 Year,,5096,5096,8096,8096,,,,
89,Auburn University,25912,Alabama,183,601,1886,599,0,1427,3269,0,361,20855,12798,AL,Public,4 Year,13332.0,11276,24608,30524,43856,54400.0,104500.0,51.0,31.0
90,Auburn University at Montgomery,5057,Alabama,23,104,1633,36,9,229,1941,136,315,2572,3233,AL,Public,4 Year,6980.0,10288,17268,22048,29028,45000.0,79600.0,61.0,12.0
91,Augusta Technical College,4269,Georgia,19,60,2078,126,7,6,2386,96,104,1773,2449,GA,Public,2 Year,,3494,3494,6164,6164,,,,
92,Augusta University,7988,Georgia,25,500,1687,398,22,151,2960,328,259,4618,4979,GA,Public,4 Year,9640.0,10758,20398,29796,39436,47000.0,84400.0,69.0,10.0
93,Aultman College of Nursing and Health Sciences,358,Ohio,3,2,16,2,0,0,33,10,11,314,313,OH,Private,2 Year,,18510,18510,18510,18510,,,,
94,Aurora University,5084,Illinois,19,97,450,927,1,9,1586,92,249,3240,3458,IL,Private,4 Year,11700.0,24260,35960,24260,35960,,,,
95,Austin College,1301,Texas,14,180,86,254,1,34,539,4,5,723,673,TX,Private,4 Year,12527.0,39985,52512,39985,52512,,,,
96,Austin Community College,40949,Texas,335,1955,2991,12388,77,1303,18878,1132,2064,18704,22778,TX,Public,2 Year,,2550,2550,13020,13020,,,,
97,Austin Graduate School of Theology,40,Texas,0,0,19,6,0,0,25,0,0,15,15,TX,Private,4 Year,,11900,11900,11900,11900,,,,
98,Austin Peay State University,10111,Tennessee,40,157,1902,575,19,43,3207,514,224,6637,6110,TN,Public,4 Year,10700.0,8411,19111,24467,35167,44200.0,78200.0,63.0,10.0
99,Ave Maria University,1081,Florida,5,29,55,178,0,26,267,0,52,736,518,FL,Private,4 Year,11436.0,20850,32286,20850,32286,,,,
100,Averett University,872,Virginia,6,6,239,33,0,42,284,0,5,541,462,VA,Private,4 Year,9976.0,34400,44376,34400,44376,,,,
101,Avila University,1907,Missouri,14,31,359,125,5,196,577,43,0,1134,1245,MO,Private,4 Year,7200.0,19900,27100,19900,27100,45900.0,81200.0,68.0,3.0
102,Azusa Pacific University,9972,California,33,1013,571,2447,88,293,4591,439,680,4408,6731,CA,Private,4 Year,10076.0,38880,48956,38880,48956,,,,
103,Babson College,3049,Massachusetts,4,274,119,244,2,914,701,58,240,1194,1305,MA,Private,4 Year,16312.0,51104,67416,51104,67416,72000.0,133800.0,37.0,0.0
104,Baker University,2957,Kansas,54,43,281,147,11,24,575,39,164,2194,1729,KS,Private,4 Year,8410.0,29830,38240,29830,38240,47800.0,84200.0,55.0,2.0
105,Bakersfield College,18698,California,73,689,748,12269,19,48,14389,591,103,4158,10486,CA,Public,2 Year,,1418,1418,7838,7838,,,,
106,Baldwin Wallace University,3979,Ohio,4,58,327,189,3,60,717,136,29,3173,2215,OH,Private,4 Year,9554.0,32586,42140,32586,42140,,,,
107,Ball State University,20655,Indiana,26,215,1378,692,24,793,2746,411,849,16267,12538,IN,Public,4 Year,10234.0,9896,20130,26468,36702,45600.0,83700.0,48.0,7.0
108,Baltimore City Community College,5024,Maryland,11,121,3976,139,12,187,4359,100,94,384,3465,MD,Public,2 Year,,2893,2893,6973,6973,,,,
109,Baptist Bible College,373,Missouri,6,5,14,16,1,0,51,9,1,321,160,MO,Private,4 Year,7500.0,14150,21650,14150,21650,,,,
110,Baptist College of Florida,486,Florida,3,2,32,21,1,0,73,14,25,388,179,FL,Private,4 Year,4612.0,12300,16912,12300,16912,,,,
111,Baptist College of Health Sciences,1170,Tennessee,0,22,497,23,0,0,545,3,21,604,1067,TN,Private,4 Year,2900.0,14700,17600,14700,17600,,,,
112,Baptist Missionary Association Theological Seminary,137,Texas,0,5,36,4,0,4,45,0,3,85,16,TX,Private,4 Year,3150.0,6690,9840,6690,9840,,,,
113,Baptist University of the Americas,174,Texas,0,1,4,115,0,40,120,0,0,14,81,TX,Private,4 Year,2500.0,7800,10300,7800,10300,,,,
114,Barclay College,251,Kansas,4,1,26,13,0,4,48,4,10,189,118,KS,Private,4 Year,9300.0,19690,28990,19690,28990,,,,
115,Bard College,2469,New York,14,115,152,31,0,284,312,0,488,1385,1388,NY,Private,4 Year,15488.0,54680,70168,54680,70168,,,,
116,Bard College at Simon's Rock,329,Massachusetts,1,19,18,8,1,49,70,23,39,171,194,MA,Private,4 Year,14916.0,55732,70648,55732,70648,,,,
117,Barnard College,2573,New York,1,367,168,286,1,192,956,133,16,1409,2568,NY,Private,4 Year,17225.0,55032,72257,55032,72257,59200.0,109800.0,57.0,19.0
118,Barry University,8518,Florida,28,182,2090,2032,12,570,4431,87,1534,1983,5589,FL,Private,4 Year,11100.0,29850,40950,29850,40950,47400.0,84400.0,66.0,12.0
119,Barstow Community College,1859,California,20,49,266,822,17,3,1277,103,15,564,1054,CA,Public,2 Year,,1391,1391,9131,9131,,,,
120,Barton College,1035,North Carolina,9,12,245,55,0,30,349,28,52,604,716,NC,Private,4 Year,10120.0,30880,41000,30880,41000,42400.0,77900.0,62.0,6.0
121,Barton County Community College,5292,Kansas,36,209,680,530,47,24,1586,84,125,3557,2599,KS,Public,2 Year,5794.0,3440,9234,3440,9234,,,,
122,Bastyr University,1202,Washington,6,121,43,42,0,75,285,73,67,775,989,WA,Private,4 Year,7590.0,26166,33756,26166,33756,48400.0,86300.0,,0.0
123,Bates College,1773,Maine,4,82,85,120,0,122,363,72,14,1274,894,ME,Private,4 Year,15224.0,53794,69018,53794,69018,59500.0,111900.0,50.0,23.0
124,Bates Technical College,2907,Washington,71,142,261,210,32,3,735,19,513,1656,1467,WA,Public,2 Year,,4783,4783,10214,10214,,,,
125,Baton Rouge Community College,7740,Louisiana,24,149,3263,241,12,154,3848,159,633,3105,4581,LA,Public,2 Year,,3981,3981,8059,8059,,,,
126,Bay Mills Community College,555,Michigan,320,1,3,4,0,0,328,0,0,227,372,MI,Public,2 Year,,3250,3250,3250,3250,,,,
127,Bay State College,1108,Massachusetts,3,72,255,130,0,4,544,84,104,456,731,MA,For Profit,2 Year,13300.0,27750,41050,27750,41050,,,,
128,Baylor University,16263,Texas,62,939,1129,2146,9,684,4984,699,150,10445,9152,TX,Private,4 Year,12595.0,45727,58322,45727,58322,55500.0,101400.0,49.0,16.0
129,Beacon College,223,Florida,3,5,34,7,1,5,62,12,0,156,79,FL,Private,4 Year,11390.0,39016,50406,39016,50406,,,,
130,Beaufort County Community College,2035,North Carolina,14,10,684,92,2,13,823,21,57,1142,1290,NC,Public,2 Year,,2344,2344,8104,8104,,,,
131,Beis Medrash Heichal Dovid,111,New York,0,0,0,0,0,0,0,0,0,111,0,NY,Private,4 Year,4500.0,9500,14000,9500,14000,,,,
132,Belhaven University,4114,Mississippi,23,20,2253,144,7,85,2508,61,366,1155,2815,MS,Private,4 Year,8500.0,25300,33800,25300,33800,41200.0,74300.0,60.0,2.0
133,Bellarmine University,3609,Kentucky,9,65,196,101,5,48,473,97,124,2964,2430,KY,Private,4 Year,12250.0,42200,54450,42200,54450,49000.0,90700.0,54.0,11.0
134,Bellevue College,13469,Washington,73,2267,657,1458,79,774,5085,551,1216,6394,7359,WA,Public,2 Year,,4258,4258,9689,9689,50100.0,88500.0,56.0,14.0
135,Bellevue University,9879,Nebraska,49,214,1168,676,30,290,2348,211,1601,5640,5254,NE,Private,4 Year,8730.0,9390,18120,9390,18120,49400.0,84800.0,57.0,23.0
136,Bellin College,351,Wisconsin,3,3,1,5,1,0,14,1,3,334,325,WI,Private,4 Year,,22178,22178,22178,22178,55800.0,97600.0,94.0,0.0
137,Bellingham Technical College,2301,Washington,25,51,20,175,7,0,385,107,486,1430,1125,WA,Public,2 Year,,2790,2790,3460,3460,,,,
138,Belmont Abbey College,1560,North Carolina,4,15,391,23,0,21,438,5,470,631,890,NC,Private,4 Year,10355.0,18500,28855,18500,28855,46700.0,82900.0,49.0,7.0
139,Belmont College,1042,Ohio,13,3,30,7,0,0,70,17,1,971,684,OH,Public,2 Year,,4973,4973,8070,8070,,,,
140,Belmont University,7244,Tennessee,16,157,318,300,7,91,1029,231,390,5734,4478,TN,Private,4 Year,12120.0,34310,46430,34310,46430,47300.0,80900.0,47.0,3.0
141,Beloit College,1303,Wisconsin,5,32,60,109,3,130,231,22,33,909,757,WI,Private,4 Year,8830.0,50040,58870,50040,58870,47400.0,85700.0,59.0,24.0
142,Bemidji State University,4986,Minnesota,130,51,83,94,1,97,510,151,271,4108,2805,MN,Public,4 Year,8408.0,8696,17104,8696,17104,,,,
143,Benedict College,2444,South Carolina,0,9,2416,7,0,0,2432,0,4,8,1224,SC,Private,4 Year,6200.0,16600,22800,16600,22800,38100.0,67500.0,61.0,19.0
144,Benedictine College,2138,Kansas,8,26,70,112,7,68,318,95,62,1690,1124,KS,Private,4 Year,10300.0,29530,39830,29530,39830,48700.0,91800.0,69.0,13.0
145,Benedictine University,6307,Illinois,20,755,703,464,15,132,1957,0,1407,2811,4005,IL,Private,4 Year,9480.0,34290,43770,34290,43770,,,,
146,Benjamin Franklin Institute of Technology,507,Massachusetts,2,45,149,103,2,4,318,17,35,150,52,MA,Private,2 Year,12400.0,18690,31090,18690,31090,,,,
147,Bennington College,755,Vermont,13,25,10,38,1,83,110,23,45,517,508,VT,Private,4 Year,15610.0,54360,69970,54360,69970,48800.0,90000.0,50.0,5.0
148,Bentley University,5565,Massachusetts,4,433,149,325,0,1181,1013,102,233,3138,2385,MA,Private,4 Year,16320.0,49880,66200,49880,66200,66600.0,116600.0,36.0,7.0
149,Berea College,1621,Kentucky,2,26,242,95,3,125,456,88,30,1010,909,KY,Private,4 Year,6764.0,39990,46754,39990,46754,39500.0,71600.0,53.0,27.0
150,Bergen Community College,15651,New Jersey,23,1099,961,3904,58,1020,6299,254,3232,5100,7531,NJ,Public,2 Year,,5610,5610,10650,10650,,,,
151,Bergin University of Canine Studies,65,California,0,7,1,2,1,2,11,0,1,51,56,CA,Private,4 Year,,9450,9450,9450,9450,,,,
152,Berkeley City College,6321,California,18,1014,1167,1568,25,72,4243,451,304,1702,3488,CA,Public,2 Year,,1432,1432,9622,9622,,,,
153,Berklee College of Music,4908,Massachusetts,9,176,266,407,8,1609,1083,217,414,1802,1567,MA,Private,4 Year,18180.0,42750,60930,42750,60930,,,,
154,Berkshire Community College,2230,Massachusetts,8,42,152,157,4,9,402,39,64,1755,1360,MA,Public,2 Year,,8569,8569,15589,15589,,,,
155,Berry College,2177,Georgia,2,26,93,134,3,19,320,62,32,1806,1335,GA,Private,4 Year,12770.0,36556,49326,36556,49326,44900.0,84900.0,44.0,21.0
156,Beth Hatalmud Rabbinical College,29,New York,0,0,0,0,0,0,0,0,0,29,0,NY,Private,4 Year,,11750,11750,11750,11750,,,,
157,Beth Medrash Govoha,6721,New Jersey,0,0,0,8,0,122,8,0,0,6591,0,NJ,Private,4 Year,4172.0,21388,25560,21388,25560,,,,
158,Bethany Lutheran College,531,Minnesota,3,3,14,16,1,4,49,12,13,465,280,MN,Private,4 Year,8100.0,27650,35750,27650,35750,,,,
159,Bethesda University of California,331,California,0,191,38,59,0,4,288,0,9,30,130,CA,Private,4 Year,,8350,8350,8350,8350,,,,
160,Bethune-Cookman University,4044,Florida,4,9,3580,115,8,84,3793,77,89,78,2377,FL,Private,4 Year,9412.0,14814,24226,14814,24226,,,,
161,Beulah Heights University,673,Georgia,1,87,482,12,0,14,582,0,48,29,380,GA,Private,4 Year,6000.0,9880,15880,9880,15880,,,,
162,Bevill State Community College,3609,Alabama,6,14,533,50,0,0,634,31,53,2922,2243,AL,Public,2 Year,1300.0,4770,6070,8640,9940,,,,
163,Big Bend Community College,2016,Washington,14,28,26,674,0,9,783,41,112,1112,1066,WA,Public,2 Year,3537.0,4272,7809,9703,13240,,,,
164,Big Sandy Community and Technical College,4638,Kentucky,7,8,29,28,0,4,100,28,265,4269,2244,KY,Public,2 Year,,5310,5310,18000,18000,,,,
165,Biola University,6358,California,14,1217,170,972,13,288,2718,332,215,3137,3462,CA,Private,4 Year,10730.0,40488,51218,40488,51218,,,,
166,Birmingham-Southern College,1185,Alabama,12,62,130,23,0,0,233,6,6,946,550,AL,Private,4 Year,12350.0,17650,30000,17650,30000,,,,
167,Bishop State Community College,3320,Alabama,23,55,2113,63,7,58,2301,40,15,946,1974,AL,Public,2 Year,,4740,4740,8610,8610,,,,
168,Bismarck State College,4002,North Dakota,57,21,110,89,3,7,387,107,89,3519,1731,ND,Public,2 Year,7794.0,4790,12584,6785,14579,,,,
169,Black Hawk College,6307,Illinois,8,277,693,786,8,21,1965,193,127,4194,3678,IL,Public,2 Year,,4470,4470,7650,7650,,,,
170,Black Hills State University,4489,South Dakota,154,22,41,166,10,73,536,143,183,3697,2916,SD,Public,4 Year,6978.0,8733,15711,11778,18756,40400.0,72600.0,51.0,11.0
171,Black River Technical College,1963,Arkansas,9,2,49,24,0,0,90,6,0,1873,1281,AR,Public,2 Year,,3660,3660,6510,6510,,,,
172,Blackburn College,585,Illinois,3,7,63,13,0,0,98,12,8,479,319,IL,Private,4 Year,7930.0,22410,30340,22410,30340,,,,
173,Blackfeet Community College,495,Montana,470,0,0,3,0,0,473,0,0,22,296,MT,Public,2 Year,6787.0,3590,10377,3590,10377,,,,
174,Blackhawk Technical College,2471,Wisconsin,15,22,180,239,3,0,541,82,45,1885,1489,WI,Public,2 Year,,4340,4340,6623,6623,,,,
175,Bladen Community College,1334,North Carolina,203,0,486,49,0,0,745,7,35,554,932,NC,Public,2 Year,,2528,2528,8672,8672,,,,
176,Blinn College,18850,Texas,75,425,1694,3667,19,177,6414,534,272,11987,9790,TX,Public,2 Year,8103.0,3540,11643,10050,18153,,,,
177,Bloomfield College,2004,New Jersey,12,56,1044,484,8,70,1615,11,103,216,1278,NJ,Private,4 Year,11950.0,29550,41500,29550,41500,48400.0,89100.0,55.0,17.0
178,Bloomsburg University of Pennsylvania,9998,Pennsylvania,7,112,779,491,11,119,1609,209,145,8125,5750,PA,Public,4 Year,9686.0,10958,20644,22532,32218,,,,
179,Blue Mountain College,544,Mississippi,1,5,56,10,0,7,74,2,1,462,330,MS,Private,4 Year,6294.0,12584,18878,12584,18878,,,,
