,name,total_enrollment,state,n_native,n_asian,n_black,n_hispanic,n_pacific,n_nonresident,n_total_minority,n_multiracial,n_unknown,n_white,n_women,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
1898,University of Louisville,21561,Kentucky,34,749,2247,813,14,617,4641,784,60,16243,11118,KY,Public,4 Year,9226.0,11656,20882,27278,36504,49500.0,87600.0,50.0,18.0
1899,University of Maine,11286,Maine,133,144,212,241,2,546,993,261,1054,8693,5754,ME,Public,4 Year,10418.0,11170,21588,30970,41388,52000.0,95000.0,50.0,24.0
1900,University of Maine at Augusta,4664,Maine,86,22,46,69,4,22,325,98,565,3752,3365,ME,Public,4 Year,,7988,7988,17918,17918,41600.0,73100.0,61.0,7.0
1901,University of Maine at Farmington,1960,Maine,13,14,35,26,2,14,130,40,171,1645,1311,ME,Public,4 Year,9726.0,9666,19392,19778,29504,41100.0,71700.0,64.0,5.0
1902,University of Maine at Fort Kent,1327,Maine,10,6,34,19,2,112,96,25,279,840,911,ME,Public,4 Year,8220.0,8115,16335,12315,20535,43500.0,76300.0,73.0,5.0
1903,University of Maine at Machias,810,Maine,22,5,26,24,0,10,87,10,142,571,547,ME,Public,4 Year,8486.0,7840,16326,15100,23586,37100.0,66200.0,47.0,13.0
1904,University of Maine at Presque Isle,1138,Maine,28,4,12,13,0,70,85,28,133,850,731,ME,Public,4 Year,8406.0,8035,16441,12235,20641,39000.0,70700.0,58.0,6.0
1905,University of Mary,2809,North Dakota,49,32,77,84,5,47,290,43,211,2261,1837,ND,Private,4 Year,6890.0,18720,25610,18720,25610,46400.0,79100.0,64.0,3.0
1906,University of Mary Hardin-Baylor,3740,Texas,21,59,485,604,10,404,1261,82,89,1986,2191,TX,Private,4 Year,8446.0,28750,37196,28750,37196,,,,
1907,University of Memphis,21059,Tennessee,53,625,7135,757,26,626,9226,630,406,10801,12572,TN,Public,4 Year,9975.0,9701,19676,21413,31388,47200.0,85800.0,55.0,12.0
1908,University of Miami,16674,Florida,23,953,1169,3526,22,2744,6101,408,1053,6776,8521,FL,Private,4 Year,14108.0,50226,64334,50226,64334,56200.0,99600.0,48.0,22.0
1909,University of Mississippi,22503,Mississippi,64,429,3178,610,23,793,4775,471,53,16882,12625,MS,Public,4 Year,10696.0,8660,19356,24614,35310,48500.0,89100.0,55.0,12.0
1910,University of Mobile,1600,Alabama,26,10,380,23,0,53,473,34,73,1001,1062,AL,Private,4 Year,9600.0,22820,32420,22820,32420,40600.0,74100.0,77.0,7.0
1911,University of Montevallo,3070,Alabama,18,19,434,93,0,39,632,68,171,2228,2068,AL,Public,4 Year,9330.0,12760,22090,25780,35110,38900.0,70700.0,49.0,7.0
1912,University of Mount Union,2262,Ohio,4,15,122,41,0,62,267,85,82,1851,1134,OH,Private,4 Year,10200.0,31260,41460,31260,41460,48300.0,88500.0,41.0,19.0
1913,University of Nebraska Medical Center,3696,Nebraska,10,175,61,122,1,303,412,43,67,2914,2372,NE,Public,4 Year,,11558,11558,28898,28898,53400.0,93000.0,79.0,6.0
1914,University of New England,6429,Maine,27,301,387,82,15,45,908,96,1266,4210,4591,ME,Private,4 Year,13990.0,37620,51610,37620,51610,50100.0,91500.0,69.0,7.0
1915,University of New Hampshire,15117,New Hampshire,32,320,168,446,2,551,1183,215,1475,11908,8277,NH,Public,4 Year,11580.0,18499,30079,33879,45459,,,,
1916,University of New Hampshire at Manchester,850,New Hampshire,1,20,13,31,0,2,82,17,170,596,445,NH,Public,4 Year,,15265,15265,30635,30635,51900.0,90900.0,50.0,32.0
1917,University of New Haven,6811,Connecticut,22,169,602,578,12,1091,1475,92,526,3719,3337,CT,Private,4 Year,15900.0,39270,55170,39270,55170,52100.0,94800.0,52.0,25.0
1918,University of New Mexico,27844,New Mexico,1421,912,682,11308,45,1289,15222,854,571,10762,15375,NM,Public,4 Year,9864.0,5445,15309,26845,36709,,,,
1919,University of New Orleans,9234,Louisiana,33,656,1375,840,3,614,3196,289,255,5169,4749,LA,Public,4 Year,10575.0,9054,19629,13890,24465,49900.0,91600.0,55.0,23.0
1920,University of North Alabama,6841,Alabama,62,131,869,168,5,301,1383,148,290,4867,3969,AL,Public,4 Year,9200.0,10370,19570,18680,27880,43000.0,75600.0,61.0,6.0
1921,University of North Carolina School of the Arts,958,North Carolina,5,12,72,68,2,25,203,44,31,699,462,NC,Public,4 Year,9021.0,9358,18379,25501,34522,46400.0,82400.0,44.0,0.0
1922,University of North Carolina at Asheville,3845,North Carolina,13,60,124,170,2,39,497,128,154,3155,2157,NC,Public,4 Year,9106.0,7145,16251,23868,32974,,,,
1923,University of North Carolina at Chapel Hill,29135,North Carolina,133,2410,2304,1895,70,1602,8138,1326,846,18549,16481,NC,Public,4 Year,11190.0,8987,20177,35170,46360,55000.0,100800.0,49.0,19.0
1924,University of North Carolina at Charlotte,27238,North Carolina,81,1343,4410,2000,30,1693,8720,856,723,16102,13477,NC,Public,4 Year,11100.0,7044,18144,20478,31578,52500.0,92600.0,49.0,25.0
1925,University of North Carolina at Greensboro,18647,North Carolina,72,772,4558,1128,21,643,7225,674,409,10370,12343,NC,Public,4 Year,9038.0,7319,16357,22478,31516,,,,
1926,University of North Carolina at Pembroke,6269,North Carolina,929,87,2156,294,3,60,3581,112,129,2499,3905,NC,Public,4 Year,8924.0,3418,12342,7418,16342,,,,
1927,University of North Carolina at Wilmington,14570,North Carolina,69,292,798,917,18,95,2517,423,398,11560,9050,NC,Public,4 Year,10686.0,7000,17686,21065,31751,,,,
1928,University of North Dakota,14906,North Dakota,253,207,344,420,15,996,1643,404,499,11768,7062,ND,Public,4 Year,8974.0,8695,17669,20759,29733,53800.0,96000.0,54.0,16.0
1929,University of North Florida,15984,Florida,20,674,1553,1481,12,370,4519,779,64,11031,8977,FL,Public,4 Year,9976.0,6394,16370,20112,30088,48800.0,86600.0,51.0,11.0
1930,University of North Georgia,16064,Georgia,35,437,684,1435,17,228,3025,417,212,12599,8923,GA,Public,4 Year,7876.0,7336,15212,21148,29024,47300.0,85600.0,51.0,8.0
1931,University of North Texas,36486,Texas,154,1881,4197,6873,41,2258,15947,2801,374,17907,19297,TX,Public,4 Year,9727.0,11250,20977,23700,33427,,,,
1932,University of Northern Colorado,12050,Colorado,38,188,437,1772,22,370,2834,377,1657,7189,7908,CO,Public,4 Year,11204.0,9786,20990,21474,32678,47700.0,87100.0,52.0,7.0
1933,University of Northern Iowa,11928,Iowa,25,108,339,377,7,626,1066,210,269,9967,6945,IA,Public,4 Year,8948.0,8938,17886,19480,28428,47100.0,85300.0,46.0,8.0
1934,University of Northwestern Ohio,4111,Ohio,17,10,146,98,6,96,280,3,989,2746,867,OH,Private,4 Year,2850.0,10650,13500,10650,13500,,,,
1935,University of Notre Dame,12179,Indiana,21,573,376,1139,5,1191,2560,446,637,7791,5547,IN,Private,4 Year,15410.0,53391,68801,53391,68801,67000.0,130500.0,45.0,28.0
